also I was the point person on my companys transition from the KL-5 to GR-6 system.,neutral,
"Hey, Mon.",neutral,
Hey!,neutral,
Good job Joe! Well done! Top notch!,happy,
"Okay, look, I think we have to tell Rachel she messed up her dessert.",neutral,
What've you been up to?,neutral,
Nobody!,angry,
Hey!,neutral,
I love your place! Where is this guy from?,happy,
Get Out!,angry,
"Go, go, go!",happy,
"Okay, see that blind guy right there? I'm gonna bash his head in later.",angry,
Hey.,neutral,
How does she do that?,surprised,
"Are you insane? I mean Joey, is going to kill you, hes actually going to kill you dead.",surprised,
": I know, we did it!! Hey, that was incredible, huh?!",happy,
"Oh God, this is so nerve wracking! How-how do you do this?",neutral,
"Okay, come on, I can't get married until I get something old, something new, something borrowed, and something blue.",neutral,
Wow! That Mike thing was interesting! I don't know what's gonna happen with Phoebe and David.,surprised,
"This is my father, Paul Stevens. Dad, this is Ross Geller.",neutral,
Ooooohh!,surprised,
Will you marry me?,neutral,
"Okay umm, Ross?",neutral,
I cant believe it!,surprised,
"Hey, both you guys should be up there with me.",neutral,
David?,neutral,
"Okay, we have a lot of options here, a number of prototypes for you to try on.",neutral,
Happy?! Is that what Im supposed to be Vic? Happy?,neutral,
I cant,neutral,
"Gotta go. I miss you too, I love you, but it's getting real late now",sad,
"Everythings gonna be all right. Okay, Dick?",neutral,
"And then, and then you said that thing about, about bringing the Mesozoic era in the 21st century.",neutral,
"Dude, I am sorry about what I said!",sad,
"You know, I don't think we brought enough stuff. Did you forget to pack the baby's anvil?",neutral,
"Well, not really.",neutral,
"Morning! Hey, hows my favorite genius and my little robot buddy?!",happy,
Hey.,neutral,
Hi!,happy,
"One pregnant woman at a time, please! I just want you to be okay.",neutral,
I had a really nice time tonight.,happy,
"Oh my God, it's that Victoria's Secret model. Something... something Goodacre.",surprised,
"I say, Drew!",neutral,
"So, in conclusion, the lines all go up , so Im happy.",neutral,
Hey Bob.,neutral,
Hey! Guess what I got for your wedding!,happy,
"See, I see.... big passion in your future.",happy,
Everybody knows!,neutral,
Oh my God! Are you serious?!,surprised,
Ugh!!,disgusted,
"...Dammit, hire the girl!  Okay, everybody ready?",neutral,
"Wow! Thats ah, thats pretty nice!",happy,
Pheebs?,neutral,
"Okay, but this is the last time.",neutral,
Hi.,neutral,
"Ah-ha, nowhere to run!",neutral,
"Hey Joey, is this the bed where Olivia lost her virginity?",neutral,
"Chandler, we still havent gotten an RSVP from your dad.",neutral,
Hello! Whos in there?,neutral,
"Sorry I'm late, but I left late.",neutral,
"Oh, are you sure you're ok?",neutral,
